filename,semantic_label,partition,numeric_label,task
12369.png,,challenge,,target
05425.png,hofburg_imperial_palace,val,1,target
07675.png,hofburg_imperial_palace,val,1,target
01154.png,pantheon,val,0,target
01454.png,,challenge,,target
09375.png,,challenge,,target
11906_aug_0.png,pantheon,train,0,target
07265_aug_0.png,hofburg_imperial_palace,train,1,target
08595.png,,challenge,,target
02494.png,,challenge,,target
00234_aug_0.png,pantheon,train,0,target
02814_aug_0.png,pantheon,train,0,target
02434.png,pantheon,val,0,target
06845.png,,challenge,,target
10859.png,pantheon,val,0,target
11080_aug_0.png,pantheon,train,0,target
07845.png,hofburg_imperial_palace,test,1,target
02334_aug_0.png,pantheon,train,0,target
07344_aug_0.png,pantheon,train,0,target
09125_aug_0.png,hofburg_imperial_palace,train,1,target
07295_aug_0.png,hofburg_imperial_palace,train,1,target
00564.png,,challenge,,target
03454.png,,challenge,,target
02655.png,hofburg_imperial_palace,test,1,target
07254.png,pantheon,test,0,target
08264_aug_0.png,pantheon,train,0,target
08855.png,,challenge,,target
04475.png,,challenge,,target
04424.png,pantheon,val,0,target
09565_aug_0.png,hofburg_imperial_palace,train,1,target
01945_aug_0.png,hofburg_imperial_palace,train,1,target
02005.png,,challenge,,target
08185_aug_0.png,hofburg_imperial_palace,train,1,target
09204_aug_0.png,pantheon,train,0,target
03865_aug_0.png,hofburg_imperial_palace,train,1,target
09254_aug_0.png,pantheon,train,0,target
07124.png,,challenge,,target
00145_aug_0.png,hofburg_imperial_palace,train,1,target
06365.png,,challenge,,target
08255.png,hofburg_imperial_palace,val,1,target
01994.png,pantheon,test,0,target
03855.png,hofburg_imperial_palace,val,1,target
12184_aug_0.png,pantheon,train,0,target
06125.png,hofburg_imperial_palace,test,1,target
02205.png,hofburg_imperial_palace,test,1,target
03684_aug_0.png,pantheon,train,0,target
04034.png,,challenge,,target
04445_aug_0.png,hofburg_imperial_palace,train,1,target
11507.png,,challenge,,target
09384.png,,challenge,,target
03165_aug_0.png,hofburg_imperial_palace,train,1,target
01575.png,hofburg_imperial_palace,test,1,target
08124.png,,challenge,,target
01885.png,hofburg_imperial_palace,test,1,target
09745.png,,challenge,,target
01014.png,pantheon,test,0,target
01944.png,pantheon,test,0,target
03664_aug_0.png,pantheon,train,0,target
02505.png,,challenge,,target
08194.png,,challenge,,target
00535.png,hofburg_imperial_palace,val,1,target
07964_aug_0.png,pantheon,train,0,target
00604_aug_0.png,pantheon,train,0,target
06324.png,,challenge,,target
04255.png,hofburg_imperial_palace,val,1,target
04904.png,,challenge,,target
05024_aug_0.png,pantheon,train,0,target
02825_aug_0.png,hofburg_imperial_palace,train,1,target
06265_aug_0.png,hofburg_imperial_palace,train,1,target
00614.png,,challenge,,target
03255_aug_0.png,hofburg_imperial_palace,train,1,target
08635.png,,challenge,,target
02274_aug_0.png,pantheon,train,0,target
08805.png,hofburg_imperial_palace,test,1,target
09634_aug_0.png,pantheon,train,0,target
08074.png,pantheon,val,0,target
07984_aug_0.png,pantheon,train,0,target
05645_aug_0.png,hofburg_imperial_palace,train,1,target
10288.png,,challenge,,target
05295.png,,challenge,,target
08545_aug_0.png,hofburg_imperial_palace,train,1,target
09415_aug_0.png,hofburg_imperial_palace,train,1,target
09955_aug_0.png,hofburg_imperial_palace,train,1,target
09665_aug_0.png,hofburg_imperial_palace,train,1,target
00205_aug_0.png,hofburg_imperial_palace,train,1,target
00144.png,,challenge,,target
08924_aug_0.png,pantheon,train,0,target
01935_aug_0.png,hofburg_imperial_palace,train,1,target
07975_aug_0.png,hofburg_imperial_palace,train,1,target
10070.png,,challenge,,target
08445.png,hofburg_imperial_palace,val,1,target
05125_aug_0.png,hofburg_imperial_palace,train,1,target
10818_aug_0.png,pantheon,train,0,target
08345.png,,challenge,,target
05565.png,hofburg_imperial_palace,val,1,target
06795.png,hofburg_imperial_palace,val,1,target
03125_aug_0.png,hofburg_imperial_palace,train,1,target
02575.png,,challenge,,target
02645_aug_0.png,hofburg_imperial_palace,train,1,target
07005.png,,challenge,,target
00395.png,hofburg_imperial_palace,test,1,target
01344.png,,challenge,,target
05215.png,hofburg_imperial_palace,val,1,target
07705.png,hofburg_imperial_palace,val,1,target
01275_aug_0.png,hofburg_imperial_palace,train,1,target
02054.png,pantheon,val,0,target
02264.png,,challenge,,target
08515_aug_0.png,hofburg_imperial_palace,train,1,target
03644_aug_0.png,pantheon,train,0,target
11925.png,pantheon,test,0,target
04625_aug_0.png,hofburg_imperial_palace,train,1,target
02314.png,,challenge,,target
04545.png,hofburg_imperial_palace,test,1,target
05685_aug_0.png,hofburg_imperial_palace,train,1,target
01295_aug_0.png,hofburg_imperial_palace,train,1,target
02794_aug_0.png,pantheon,train,0,target
01574_aug_0.png,pantheon,train,0,target
